track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Blurred Lines,Robin Thicke,0.853,0.599,7,-4.756,1,0.0411,0.0033399999999999997,7.93e-06,0.0759,0.843,119.993,263.827
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,0.81,0.7929999999999999,6,-9.404,0,0.0403,0.0378,1.82e-06,0.07200000000000001,0.863,116.04899999999999,369.627
Wake Me Up,Avicii,0.532,0.7829999999999999,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247.427
Let Her Go,Passenger,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.89699999999999,252.733
La La La,Naughty Boy,0.772,0.65,6,-5.202000000000001,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.08200000000001,222.2
Roar,Katy Perry,0.5539999999999999,0.772,7,-4.821000000000001,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223.546
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.7809999999999999,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235.613
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.34600000000000003,0.000302,0.132,0.441,95.00200000000001,242.733
Counting Stars,OneRepublic,0.664,0.705,1,-4.9719999999999995,0,0.0382,0.0654,0.0,0.115,0.47700000000000004,122.01700000000001,257.84
Mirrors,Justin Timberlake,0.574,0.512,5,-6.664,0,0.0503,0.23399999999999999,0.0,0.0946,0.512,76.899,484.147
Pompeii,Bastille,0.679,0.715,9,-6.382999999999999,1,0.0407,0.0755,0.0,0.271,0.5710000000000001,127.435,214.148
Waiting All Night,Rudimental,0.544,0.728,6,-5.358,0,0.05,0.00264,0.009590000000000001,0.42700000000000005,0.281,174.983,292.587
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.6409999999999999,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258.343
Love Me Again,John Newman,0.495,0.894,2,-4.814,0,0.0441,0.004529999999999999,0.000596,0.10300000000000001,0.213,126.03,239.894
Burn,Ellie Goulding,0.5589999999999999,0.777,1,-5.031000000000001,1,0.0432,0.31,0.0,0.105,0.32899999999999996,87.016,231.212
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,72.795,213.827
