track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Uptown Funk (feat. Bruno Mars),Mark Ronson,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.149999999999999e-05,0.0344,0.9279999999999999,114.988,269.667
Thinking out Loud,Ed Sheeran,0.7809999999999999,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281.56
See You Again (feat. Charlie Puth),Wiz Khalifa,0.6890000000000001,0.48100000000000004,10,-7.502999999999999,1,0.0815,0.369,1.03e-06,0.0649,0.28300000000000003,80.025,229.526
Trap Queen,Fetty Wap,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.8170000000000001,148.075,222.093
Sugar,Maroon 5,0.748,0.7879999999999999,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.07600000000001,235.493
Shut Up and Dance,WALK THE MOON,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.03799999999998,199.08
Watch Me (Whip / Nae Nae),Silentó,0.8190000000000001,0.768,8,-8.522,1,0.134,0.23399999999999999,0.0,0.33399999999999996,0.9640000000000001,139.982,185.131
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,0.66,0.37200000000000005,2,-6.025,0,0.0314,0.41700000000000004,0.0,0.0954,0.43200000000000005,119.946,252.227
The Hills,The Weeknd,0.35600000000000004,0.5670000000000001,0,-7.011,0,0.0798,0.0861,0.0,0.13699999999999998,0.109,135.553,242.253
Cheerleader,OMI,0.8640000000000001,0.738,4,-4.323,1,0.0309,0.214,0.0,0.179,0.938,100.0,174.19
Can't Feel My Face,The Weeknd,0.7020000000000001,0.77,9,-5.416,0,0.0482,0.124,0.0,0.10300000000000001,0.593,107.95100000000001,213.52
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,0.258,0.631,5,-6.617000000000001,0,0.0541,0.281,0.0,0.127,0.266,189.583,252.539
Take Me To Church,Hozier,0.456,0.67,7,-5.212000000000001,1,0.0574,0.588,0.0,0.11599999999999999,0.405,128.632,241.688
Lean On (feat. MØ & DJ Snake),Major Lazer,0.723,0.809,7,-3.0810000000000004,0,0.0625,0.00346,0.00123,0.565,0.27399999999999997,98.007,176.561
Want to Want Me,Jason Derulo,0.775,0.68,0,-5.507999999999999,0,0.0629,0.009059999999999999,0.0,0.109,0.6559999999999999,114.025,207.719
Where Are Ü Now (with Justin Bieber),Jack Ü,0.43200000000000005,0.7809999999999999,4,-4.038,0,0.0567,0.040999999999999995,4.21e-06,0.0789,0.19699999999999998,139.43200000000002,250.286
Fight Song,Rachel Platten,0.639,0.7070000000000001,7,-5.062,1,0.0739,0.0881,0.0,0.17600000000000002,0.35200000000000004,87.944,204.067
679 (feat. Remy Boyz),Fetty Wap,0.618,0.7170000000000001,7,-5.7379999999999995,1,0.318,0.00256,0.0,0.625,0.603,190.05,196.693
Lips Are Movin,Meghan Trainor,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182.667
Worth It (feat. Kid Ink),Fifth Harmony,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.11800000000000001,0.594,99.98700000000001,224.573
