track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Roar,Katy Perry,0.56,0.7559999999999999,7,-4.817,0,0.0415,0.00635,1.29e-05,0.55,0.40399999999999997,179.771,223.546
Blurred Lines,Robin Thicke,0.862,0.503,7,-7.702999999999999,1,0.0494,0.004529999999999999,1.87e-05,0.0761,0.863,119.99799999999999,263.053
Let Her Go,Passenger,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.89699999999999,252.733
Wake Me Up,Avicii,0.512,0.8029999999999999,2,-5.135,1,0.0531,0.0036200000000000004,0.000583,0.11599999999999999,0.591,124.162,249.693
Royals,Lorde,0.6759999999999999,0.429,7,-9.582,1,0.136,0.11800000000000001,0.0,0.135,0.321,84.822,190.185
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,1,0.0489,0.34600000000000003,0.000302,0.132,0.441,95.00200000000001,242.733
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.794,0.8109999999999999,6,-8.966000000000001,0,0.038,0.0426,1.07e-06,0.10099999999999999,0.862,116.04700000000001,248.413
Counting Stars,OneRepublic,0.665,0.7,1,-4.946000000000001,0,0.042,0.066,0.0,0.11900000000000001,0.473,121.961,257.267
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.634,0.927,2,-4.468,1,0.0838,0.027000000000000003,0.0,0.0986,0.88,146.094,258.432
Impossible,James Arthur,0.376,0.696,0,-4.785,0,0.0949,0.141,0.0,0.11,0.303,169.515,209.44
Stay,Rihanna,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.11699999999999999,0.125,111.89299999999999,240.707
Riptide,Vance Joy,0.489,0.736,1,-6.654,1,0.0355,0.436,0.0,0.153,0.529,101.78200000000001,204.267
Talk Dirty (feat. 2 Chainz),Jason Derulo,0.76,0.652,6,-7.321000000000001,1,0.23199999999999998,0.0348,0.0,0.307,0.759,100.315,177.685
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,0.56,0.475,8,-9.05,1,0.17300000000000001,0.718,2.18e-05,0.0994,0.308,84.899,320.035
Pompeii,Bastille,0.6809999999999999,0.7090000000000001,9,-6.4879999999999995,1,0.040999999999999995,0.0749,0.0,0.266,0.591,127.44,214.148
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.7809999999999999,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235.613
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,72.795,213.827
Beneath Your Beautiful,Labrinth,0.5579999999999999,0.522,2,-5.857,1,0.036000000000000004,0.228,0.0,0.10400000000000001,0.228,83.977,271.813
Thank You,MKTO,0.65,0.9570000000000001,11,-3.5860000000000003,1,0.0663,0.0136,0.0,0.233,0.7759999999999999,126.005,229.027
Radioactive - Playback - Instrumental Version,Hit Music Group,0.512,0.363,7,-12.237,1,0.0418,0.000357,0.868,0.113,0.0768,134.005,174.68
Ho Hey,The Lumineers,0.684,0.466,5,-9.079,1,0.0299,0.773,1.28e-06,0.0787,0.369,79.92399999999999,163.133
Wrecking Ball,Miley Cyrus,0.53,0.42200000000000004,5,-6.2620000000000005,1,0.0342,0.40700000000000003,0.0,0.107,0.349,119.964,221.36
Let's Get Ridiculous,Redfoo,0.6509999999999999,0.938,5,-0.418,0,0.07200000000000001,0.147,0.0,0.0755,0.665,127.993,215.573
The Monster,Eminem,0.785,0.8590000000000001,9,-3.673,1,0.0775,0.0547,0.0,0.0631,0.603,110.012,250.907
Lanterns - Single Version,Birds Of Tokyo,0.409,0.688,0,-6.862,1,0.0414,0.231,0.0257,0.174,0.3,167.986,236.24
