danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
0.57412,0.75507,5.55,-5.3457,0.62,0.06098,0.187082,0.149993,0.209809,0.509017,129.52926,2011
0.570255,0.732102,4.908163,-5.447898,0.765306,0.058988,0.208212,0.156387,0.192126,0.546529,128.561612,2012
0.572768,0.763213,5.010101,-5.311485,0.575758,0.059646,0.182614,0.129642,0.178962,0.574717,133.049364,2013
0.575053,0.728564,4.542553,-5.459319,0.755319,0.056052,0.284842,0.135532,0.19973,0.58734,129.910415,2014
0.573897,0.742103,4.871795,-5.148769,0.846154,0.057403,0.17837,0.076566,0.183056,0.561872,117.852718,2015
0.573895,0.791947,4.315789,-4.751053,0.754386,0.0617,0.169271,0.043607,0.187195,0.578772,122.684561,2016
0.615229,0.7893,4.3,-4.2034,0.728571,0.072804,0.209074,0.003845,0.187023,0.612657,127.824443,2017
0.575685,0.776207,4.771739,-4.619815,0.673913,0.058434,0.236727,0.095468,0.211108,0.568326,130.876337,2018
0.564044,0.804769,5.395604,-3.768967,0.78022,0.062821,0.162782,0.001834,0.222956,0.587242,123.585538,2019
