track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Lemon,Kenshi Yonezu,0.5329999999999999,0.6609999999999999,11,-4.9239999999999995,1,0.0268,0.366,0.0,0.354,0.446,86.978,256.107
U.S.A.,DA PUMP,0.653,0.992,7,-0.877,1,0.0587,0.0171,0.0,0.221,0.9209999999999999,139.542,238.493
Garasu Wo Ware!,Keyakizaka46,0.446,0.929,1,-3.6010000000000004,0,0.0859,0.11900000000000001,0.0,0.289,0.55,82.054,222.667
Uchiage Hanabi,Dima Lancaster,0.612,0.6859999999999999,6,-4.133,1,0.0256,0.336,5.43e-06,0.122,0.322,96.03200000000001,287.433
Doraemon,Gen Hoshino,0.64,0.547,4,-4.129,1,0.038,0.0067599999999999995,4.95e-05,0.0585,0.95,159.99200000000002,239.933
Synchronicity,Nogizaka46,0.5710000000000001,0.9229999999999999,0,-3.64,1,0.04,0.603,0.0,0.0585,0.46799999999999997,135.941,254.88
Jikochudeikou!,Nogizaka46,0.423,0.953,11,-2.2319999999999998,1,0.048,0.0735,0.0,0.341,0.47200000000000003,84.041,249.827
Candy Pop,TWICE,0.599,0.943,0,-1.4569999999999999,1,0.0894,0.177,2.6000000000000002e-05,0.141,0.84,174.05900000000003,202.01
Sayonara Elegy,Masaki Suda,0.466,0.934,1,-2.739,1,0.0539,0.0033299999999999996,0.0,0.27699999999999997,0.62,154.966,257.067
Dear My Teacher - Team A Version,AKB48,0.62,0.981,2,-3.115,0,0.0425,0.159,0.000299,0.281,0.912,123.98200000000001,262.107
Ambivalent,Keyakizaka46,0.556,0.9329999999999999,3,-2.275,0,0.0717,0.0969,0.0,0.0708,0.611,129.976,272.567
FAKE LOVE,BTS,0.557,0.7190000000000001,2,-4.515,0,0.0372,0.00267,0.0,0.306,0.344,77.501,242.334
Shape of You,Ed Sheeran,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233.713
Mabataki,SCANDAL,0.629,0.94,1,-4.5569999999999995,0,0.0359,0.00557,0.7859999999999999,0.374,0.851,124.00299999999999,230.373
Loser,Kenshi Yonezu,0.679,0.9309999999999999,1,-3.739,0,0.0474,0.00463,0.0,0.0652,0.9620000000000001,121.007,243.813
Idea,Gen Hoshino,0.478,0.606,10,-4.158,1,0.217,0.00197,0.0,0.33,0.638,174.208,280.667
Wake Me Up,TWICE,0.6559999999999999,0.9940000000000001,6,-1.47,0,0.0807,0.209,0.0,0.318,0.795,125.979,211.8
TT,TWICE,0.708,0.853,2,-4.398,1,0.0844,0.0525,0.000173,0.39899999999999997,0.39899999999999997,129.946,212.987
Flamingo,Kenshi Yonezu,0.769,0.6579999999999999,7,-6.455,1,0.0524,0.128,0.0,0.0984,0.9209999999999999,114.05,195.293
Kaerimichiwa Toomawarishitakunaru,Nogizaka46,0.51,0.857,1,-2.716,1,0.0404,0.461,0.0,0.0793,0.684,138.064,269.707
夏疾風,ARASHI,0.564,0.907,6,-3.717,1,0.052000000000000005,0.0709,0.0,0.122,0.45899999999999996,136.977,258.802
ダンシング・ヒーロー(Eat You Up),Yoko Oginome,0.664,0.9790000000000001,6,-5.311,0,0.0385,0.0212,0.000397,0.45799999999999996,0.888,132.247,227.3
DNA,BTS,0.598,0.775,1,-4.035,0,0.0545,0.022000000000000002,0.0,0.0677,0.687,129.819,223.123
Change,ONE OK ROCK,0.35700000000000004,0.75,8,-4.971,1,0.0533,0.00245,0.0,0.37200000000000005,0.326,89.632,174.628
