track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
"Happy (from ""Despicable Me 2"")",DJ Alpin,0.679,0.88,1,-5.935,1,0.0702,0.474,3.229999999999999e-05,0.552,0.737,159.884,231.028
All About That Bass,Meghan Trainor,0.8109999999999999,0.879,9,-3.7239999999999998,1,0.0514,0.0476,1.91e-06,0.109,0.9620000000000001,134.064,188.754
Shake It Off,Taylor Swift,0.645,0.797,7,-5.355,1,0.159,0.0547,0.0,0.408,0.945,160.078,219.209
Geronimo,Sheppard,0.705,0.745,7,-7.455,1,0.0862,0.467,0.00425,0.122,0.526,142.014,218.228
Que Sera,Justice Crew,0.5870000000000001,0.813,8,-3.201,1,0.0483,0.0282,0.0,0.39799999999999996,0.551,99.935,210.92
Chandelier,Sia,0.28600000000000003,0.784,1,-2.873,1,0.0749,0.0163,6.48e-05,0.0713,0.618,173.793,216.12
Thinking out Loud,Ed Sheeran,0.7809999999999999,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281.56
Stay With Me,Sam Smith,0.5,0.418,0,-6.535,1,0.0377,0.5660000000000001,0.000193,0.11,0.17600000000000002,84.899,172.724
Freaks,Timmy Trumpet,0.905,0.92,9,-3.326,1,0.0811,0.0016,0.9129999999999999,0.0647,0.7440000000000001,128.02700000000002,274.327
Ugly Heart,G.R.L.,0.65,0.7859999999999999,9,-5.4879999999999995,1,0.0463,0.019,0.0,0.32299999999999995,0.446,124.96,198.307
All of Me,John Legend,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269.56
Fancy,Iggy Azalea,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.98100000000001,199.938
Say Something,A Great Big World,0.45299999999999996,0.146,2,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,229.4
Rather Be (feat. Jess Glynne),Clean Bandit,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.5489999999999999,120.97,227.833
Stolen Dance - Radio Edit,Milky Chance,0.8759999999999999,0.626,11,-7.928,1,0.0463,0.32299999999999995,9.38e-06,0.102,0.754,114.00299999999999,204.373
Am I Wrong,Nico & Vinz,0.7290000000000001,0.675,8,-6.002999999999999,1,0.0312,0.175,1.58e-06,0.55,0.779,119.96799999999999,245.867
Only Love Can Hurt Like This - MS MR Remix,Paloma Faith,0.6409999999999999,0.6659999999999999,7,-4.452,0,0.0313,0.177,0.0016699999999999998,0.109,0.35600000000000004,91.021,214.627
Problem,Ariana Grande,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193.92
Budapest,George Ezra,0.706,0.247,5,-17.961,1,0.0311,0.261,0.0,0.10300000000000001,0.424,127.81200000000001,202.12
She Looks So Perfect,5 Seconds of Summer,0.495,0.9590000000000001,1,-3.7119999999999997,0,0.13699999999999998,0.000714,0.0,0.36,0.431,159.993,202.496
Waves - Robin Schulz Radio Edit,Mr. Probz,0.8290000000000001,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,208.133
You Ruin Me,The Veronicas,0.478,0.442,5,-5.165,1,0.0285,0.705,0.0,0.11900000000000001,0.222,93.005,231.213
Swing - Joel Fletcher Remix,Joel Fletcher,0.922,0.8109999999999999,11,-5.6979999999999995,0,0.235,0.0133,0.00518,0.0512,0.792,128.035,180.0
We Are Done,The Madden Brothers,0.78,0.706,1,-8.346,0,0.0321,0.139,0.000184,0.106,0.8340000000000001,121.155,216.468
Let It Go - English Version,Idina Menzel,0.5479999999999999,0.491,8,-6.8839999999999995,1,0.0303,0.589,0.0,0.12300000000000001,0.35600000000000004,137.009,224.027
Jubel - Radio Edit,Klingande,0.6859999999999999,0.524,0,-7.251,1,0.0343,0.649,0.0569,0.14,0.0951,124.93799999999999,201.627
Free (feat. Emeli Sandé & Nas),Rudimental,0.642,0.496,0,-10.922,1,0.0851,0.122,0.007890000000000001,0.113,0.157,110.00299999999999,270.884
Uptown Funk (feat. Bruno Mars),Mark Ronson,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.149999999999999e-05,0.0344,0.9279999999999999,114.988,269.667
Bang Bang,Jessie J,0.711,0.774,0,-3.391,0,0.0922,0.259,0.0,0.371,0.715,150.032,199.387
Ghost,Ella Henderson,0.682,0.836,9,-3.7769999999999997,1,0.0425,0.0464,3.13e-06,0.0797,0.485,104.98700000000001,216.107
Faded,ZHU,0.863,0.475,9,-7.195,0,0.0488,0.00872,0.11599999999999999,0.122,0.596,124.964,223.485
Sing,Ed Sheeran,0.818,0.67,8,-4.4510000000000005,0,0.0472,0.304,1.22e-06,0.0601,0.9390000000000001,119.988,235.382
Brave,Sara Bareilles,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220.573
High - Original Mix,Peking Duk,0.524,0.7979999999999999,0,-4.092,0,0.0491,0.0012699999999999999,0.00134,0.34700000000000003,0.35700000000000004,100.1,228.0
Magic,Coldplay,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93.458,285.014
Trumpets,Jason Derulo,0.627,0.703,0,-4.8839999999999995,1,0.23600000000000002,0.563,0.0,0.0962,0.64,81.89699999999999,217.307
Stay High - Habits Remix,Tove Lo,0.736,0.677,4,-7.0360000000000005,0,0.0352,0.00114,0.8440000000000001,0.0949,0.0747,121.01,258.387
Break Free,Ariana Grande,0.687,0.7020000000000001,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.95600000000002,214.84
Rude,MAGIC!,0.774,0.7559999999999999,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.9309999999999999,144.032,224.84
Addicted To You,Avicii,0.569,0.785,1,-4.0569999999999995,0,0.0457,0.0505,1.12e-06,0.086,0.303,128.031,148.387
Don't,Ed Sheeran,0.8059999999999999,0.608,1,-7.007999999999999,1,0.0659,0.0113,0.0,0.635,0.8490000000000001,95.04899999999999,219.84
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,0.76,0.8859999999999999,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.00200000000001,189.399
Strong,London Grammar,0.486,0.419,10,-10.465,1,0.0355,0.7290000000000001,3.04e-05,0.077,0.251,76.082,274.807
Summer,Calvin Harris,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222.533
