track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Rather Be (feat. Jess Glynne),Clean Bandit,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.5489999999999999,120.97,227.833
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.8220000000000001,5,-4.662,0,0.183,0.21899999999999997,0.0,0.0908,0.9620000000000001,160.019,232.72
Waves - Robin Schulz Radio Edit,Mr. Probz,0.8290000000000001,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,208.133
All of Me,John Legend,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269.56
Stay With Me,Sam Smith,0.5,0.418,0,-6.535,1,0.0377,0.5660000000000001,0.000193,0.11,0.17600000000000002,84.899,172.724
Timber (feat. Ke$ha),Pitbull,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.7879999999999999,129.99200000000002,204.16
Budapest,George Ezra,0.7140000000000001,0.451,5,-8.267999999999999,1,0.0276,0.0883,0.0,0.10800000000000001,0.406,127.787,200.72
Sing,Ed Sheeran,0.818,0.67,8,-4.4510000000000005,0,0.0472,0.304,1.22e-06,0.0601,0.9390000000000001,119.988,235.382
Dark Horse,Katy Perry,0.645,0.589,6,-6.131,1,0.0523,0.00396,0.0,0.145,0.35,131.899,215.672
Fancy,Iggy Azalea,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.98100000000001,199.938
Summer,Calvin Harris,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222.533
Riptide,Vance Joy,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204.28
Rude,MAGIC!,0.774,0.7559999999999999,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.9309999999999999,144.032,224.84
Money On My Mind,Sam Smith,0.65,0.845,2,-5.23,1,0.175,0.192,0.0004,0.231,0.7340000000000001,133.664,192.67
Hideaway,Kiesza,0.8390000000000001,0.72,7,-4.135,0,0.0483,0.0862,0.0069700000000000005,0.0772,0.203,122.993,251.987
Ghost,Ella Henderson,0.68,0.84,9,-3.823,1,0.0415,0.0457,8.38e-06,0.14300000000000002,0.46799999999999997,104.985,213.213
Pompeii,Bastille,0.679,0.715,9,-6.382999999999999,1,0.0407,0.0755,0.0,0.271,0.5710000000000001,127.435,214.148
Am I Wrong,Nico & Vinz,0.7290000000000001,0.675,8,-6.002999999999999,1,0.0312,0.175,1.58e-06,0.55,0.779,119.96799999999999,245.867
Counting Stars,OneRepublic,0.665,0.7,1,-4.946000000000001,0,0.042,0.066,0.0,0.11900000000000001,0.473,121.961,257.267
Don't,Ed Sheeran,0.8059999999999999,0.608,1,-7.007999999999999,1,0.0659,0.0113,0.0,0.635,0.8490000000000001,95.04899999999999,219.84
Thinking out Loud,Ed Sheeran,0.7809999999999999,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281.56
Do I Wanna Know?,Arctic Monkeys,0.55,0.532,5,-7.591,1,0.032,0.174,0.00034700000000000003,0.218,0.41,85.03200000000001,272.387
My Love,Route 94,0.818,0.595,8,-7.644,1,0.0515,0.00014,0.575,0.0612,0.7290000000000001,119.99,262.0
Magic,Coldplay,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93.458,285.014
Problem,Ariana Grande,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193.92
I See Fire,Ed Sheeran,0.6409999999999999,0.17600000000000002,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,299.147
A Sky Full of Stars,Coldplay,0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,124.99600000000001,268.467
Drunk in Love (feat. Jay-Z),Beyoncé,0.589,0.621,5,-6.902,0,0.0468,0.00969,0.0010400000000000001,0.18100000000000002,0.401,140.03,323.48
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,0.763,0.875,9,-5.797000000000001,0,0.0262,0.024,5.41e-06,0.599,0.8,123.01299999999999,189.413
Hey Brother,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.6399999999999996e-05,0.0828,0.45799999999999996,125.014,255.093
Demons,Imagine Dragons,0.327,0.71,3,-2.928,1,0.0547,0.20199999999999999,9e-05,0.28,0.41600000000000004,179.56099999999998,175.2
I Got U,Duke Dumont,0.653,0.7559999999999999,0,-7.794,1,0.0366,0.00364,0.006509999999999999,0.08900000000000001,0.42,120.82,285.596
Chandelier,Sia,0.39899999999999997,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.5720000000000001,117.089,216.12
Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.87799999999999,190.185
All About That Bass,Meghan Trainor,0.8109999999999999,0.879,9,-3.7239999999999998,1,0.0514,0.0476,1.91e-06,0.109,0.9620000000000001,134.064,188.754
Wake Me Up - Radio Edit,Avicii,0.532,0.7829999999999999,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247.427
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,0.5429999999999999,0.485,8,-6.85,1,0.0305,0.5579999999999999,0.0,0.12,0.371,136.961,223.84
Stay High - Habits Remix,Tove Lo,0.736,0.677,4,-7.0360000000000005,0,0.0352,0.00114,0.8440000000000001,0.0949,0.0747,121.01,258.387
The Man,Aloe Blacc,0.531,0.77,11,-7.205,0,0.0434,0.0332,0.0,0.235,0.504,85.99600000000001,255.907
Let Her Go,Passenger,0.509,0.5379999999999999,7,-7.335,1,0.0572,0.385,0.0,0.10400000000000001,0.244,75.089,252.867
Blame,Calvin Harris,0.413,0.856,0,-4.078,0,0.0808,0.0289,0.00571,0.34299999999999997,0.35,128.017,212.96
Wiggle (feat. Snoop Dogg),Jason Derulo,0.6970000000000001,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193.296
Radioactive,Imagine Dragons,0.44799999999999995,0.784,9,-3.6860000000000004,1,0.0627,0.106,0.00010800000000000001,0.6679999999999999,0.23600000000000002,136.245,186.813
Classic,MKTO,0.72,0.7909999999999999,1,-4.689,1,0.124,0.0384,0.0,0.157,0.7559999999999999,102.071,175.427
The Monster,Eminem,0.784,0.85,9,-3.679,1,0.0691,0.0492,0.0,0.11199999999999999,0.5670000000000001,110.00399999999999,250.189
She Looks So Perfect,5 Seconds of Summer,0.494,0.951,9,-4.237,1,0.132,0.0005690000000000001,0.0,0.327,0.441,160.025,202.496
Trumpets,Jason Derulo,0.627,0.703,0,-4.8839999999999995,1,0.23600000000000002,0.563,0.0,0.0962,0.64,81.89699999999999,217.307
Gecko (Overdrive) - Radio Edit,Oliver Heldens,0.609,0.885,0,-5.468999999999999,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,165.441
Feelin' Myself,will.i.am,0.86,0.535,6,-8.561,0,0.14800000000000002,0.0271,0.0,0.133,0.503,96.48700000000001,253.547
"Hold On, We're Going Home",Drake,0.773,0.414,6,-7.436,0,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993,227.88
Black Widow,Iggy Azalea,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,209.423
Nobody To Love - Extended Mix,Sigma,0.441,0.9540000000000001,8,-3.702,1,0.059000000000000004,0.00046399999999999995,0.000332,0.0529,0.146,175.02700000000002,252.343
Wasted,Tiësto,0.638,0.816,2,-5.502999999999999,1,0.0308,0.00149,0.00115,0.195,0.386,112.014,190.014
Burn,Ellie Goulding,0.5589999999999999,0.777,1,-5.031000000000001,1,0.0432,0.31,0.0,0.105,0.32899999999999996,87.016,231.212
I Will Never Let You Down,Rita Ora,0.753,0.8009999999999999,4,-3.215,1,0.0296,0.40299999999999997,0.0,0.128,0.794,128.011,203.467
I'm Not The Only One,Sam Smith,0.6779999999999999,0.491,5,-5.815,1,0.0358,0.565,2.78e-05,0.0772,0.519,81.99700000000001,239.317
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.6409999999999999,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258.343
Roar,Katy Perry,0.56,0.7559999999999999,7,-4.817,0,0.0415,0.00635,1.29e-05,0.55,0.40399999999999997,179.771,223.546
Break Free,Ariana Grande,0.687,0.7020000000000001,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.95600000000002,214.84
Bad (feat. Vassy) - Radio Edit,David Guetta,0.614,0.972,5,-3.927,0,0.08800000000000001,0.00125,0.0186,0.32799999999999996,0.41100000000000003,127.96600000000001,170.625
Latch,Disclosure,0.503,0.727,1,-5.456,1,0.16699999999999998,0.0159,9.449999999999999e-05,0.0895,0.521,121.985,255.632
