playlist_id,track_name,first_artist,date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3IEcKuHVeXPPvG0UExRayu,Last Friday Night (T.G.I.F.),Katy Perry,2020-04-18T18:43:15Z,0.651,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,audio_features,3wllvxhwIbGYY5rte1bZFn,spotify:track:3wllvxhwIbGYY5rte1bZFn,https://api.spotify.com/v1/tracks/3wllvxhwIbGYY5rte1bZFn,https://api.spotify.com/v1/audio-analysis/3wllvxhwIbGYY5rte1bZFn,230733,4
3IEcKuHVeXPPvG0UExRayu,Just the Way You Are,Bruno Mars,2020-04-18T18:43:15Z,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,audio_features,47Slg6LuqLaX0VodpSCvPt,spotify:track:47Slg6LuqLaX0VodpSCvPt,https://api.spotify.com/v1/tracks/47Slg6LuqLaX0VodpSCvPt,https://api.spotify.com/v1/audio-analysis/47Slg6LuqLaX0VodpSCvPt,220733,4
3IEcKuHVeXPPvG0UExRayu,Tonight (I'm Lovin' You),Enrique Iglesias,2020-04-18T18:43:15Z,0.659,0.882,5,-4.623,0,0.0465,0.0258,9.2e-06,0.144,0.314,125.985,audio_features,4270XtiZeN9yYPR81dn8Ow,spotify:track:4270XtiZeN9yYPR81dn8Ow,https://api.spotify.com/v1/tracks/4270XtiZeN9yYPR81dn8Ow,https://api.spotify.com/v1/audio-analysis/4270XtiZeN9yYPR81dn8Ow,231653,4
3IEcKuHVeXPPvG0UExRayu,Raise Your Glass,P!nk,2020-04-18T18:43:15Z,0.697,0.723,7,-4.932,1,0.0796,0.00507,0,0.0284,0.648,122.014,audio_features,4zzL7ATa95g88MwzuQ1v8G,spotify:track:4zzL7ATa95g88MwzuQ1v8G,https://api.spotify.com/v1/tracks/4zzL7ATa95g88MwzuQ1v8G,https://api.spotify.com/v1/audio-analysis/4zzL7ATa95g88MwzuQ1v8G,203400,4
3IEcKuHVeXPPvG0UExRayu,Born This Way,Lady Gaga,2020-04-18T18:43:15Z,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,audio_features,6r2BECwMgEoRb5yLfp0Hca,spotify:track:6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca,260253,4
3IEcKuHVeXPPvG0UExRayu,F**kin' Perfect,P!nk,2020-04-18T18:43:15Z,0.559,0.655,7,-4.988,1,0.0335,0.0213,0,0.353,0.49,91.957,audio_features,1H9AbpMAShkCVuaPAR6CHf,spotify:track:1H9AbpMAShkCVuaPAR6CHf,https://api.spotify.com/v1/tracks/1H9AbpMAShkCVuaPAR6CHf,https://api.spotify.com/v1/audio-analysis/1H9AbpMAShkCVuaPAR6CHf,213587,4
3IEcKuHVeXPPvG0UExRayu,What's My Name?,Rihanna,2020-04-18T18:43:15Z,0.69,0.786,2,-2.959,1,0.0692,0.229,0,0.0797,0.583,100.049,audio_features,5xZtUAVUVfjBtVtMOgMkyy,spotify:track:5xZtUAVUVfjBtVtMOgMkyy,https://api.spotify.com/v1/tracks/5xZtUAVUVfjBtVtMOgMkyy,https://api.spotify.com/v1/audio-analysis/5xZtUAVUVfjBtVtMOgMkyy,263173,4
3IEcKuHVeXPPvG0UExRayu,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,2020-04-18T18:43:15Z,0.755,0.674,11,-6.117,0,0.207,0.0418,2.49e-05,0.191,0.521,145.846,audio_features,0yjf2c8T4Nvbkw6GwamHPS,spotify:track:0yjf2c8T4Nvbkw6GwamHPS,https://api.spotify.com/v1/tracks/0yjf2c8T4Nvbkw6GwamHPS,https://api.spotify.com/v1/audio-analysis/0yjf2c8T4Nvbkw6GwamHPS,222587,4
3IEcKuHVeXPPvG0UExRayu,Down On Me,Jeremih,2020-04-18T18:43:15Z,0.7,0.598,2,-7.783,1,0.114,0.0369,0,0.111,0.594,160.041,audio_features,5ZxCk43qwHrzVUahCyRLEm,spotify:track:5ZxCk43qwHrzVUahCyRLEm,https://api.spotify.com/v1/tracks/5ZxCk43qwHrzVUahCyRLEm,https://api.spotify.com/v1/audio-analysis/5ZxCk43qwHrzVUahCyRLEm,228453,4
3IEcKuHVeXPPvG0UExRayu,How To Love,Lil Wayne,2020-04-18T18:43:15Z,0.643,0.661,11,-6.093,1,0.0416,0.000177,5.14e-06,0.108,0.272,154.001,audio_features,32eXkt1gAj4J9Dyav2bvSZ,spotify:track:32eXkt1gAj4J9Dyav2bvSZ,https://api.spotify.com/v1/tracks/32eXkt1gAj4J9Dyav2bvSZ,https://api.spotify.com/v1/audio-analysis/32eXkt1gAj4J9Dyav2bvSZ,240307,4
3IEcKuHVeXPPvG0UExRayu,Someone Like You,Adele,2020-04-18T18:43:15Z,0.552,0.33,9,-8.255,1,0.0283,0.89,0,0.105,0.28,135.223,audio_features,4etypRtRn8IgsxZu6BhRS6,spotify:track:4etypRtRn8IgsxZu6BhRS6,https://api.spotify.com/v1/tracks/4etypRtRn8IgsxZu6BhRS6,https://api.spotify.com/v1/audio-analysis/4etypRtRn8IgsxZu6BhRS6,283960,4
3IEcKuHVeXPPvG0UExRayu,Good Life,OneRepublic,2020-04-18T18:43:15Z,0.636,0.694,6,-7.796,1,0.051,0.0785,0,0.121,0.687,94.989,audio_features,7oOfd5BP16mS0Vrh1PdRHt,spotify:track:7oOfd5BP16mS0Vrh1PdRHt,https://api.spotify.com/v1/tracks/7oOfd5BP16mS0Vrh1PdRHt,https://api.spotify.com/v1/audio-analysis/7oOfd5BP16mS0Vrh1PdRHt,253307,4
3IEcKuHVeXPPvG0UExRayu,The Lazy Song,Bruno Mars,2020-04-18T18:43:15Z,0.738,0.804,11,-3.851,1,0.0621,0.332,0,0.279,0.949,174.943,audio_features,386RUes7n1uM1yfzgeUuwp,spotify:track:386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/audio-analysis/386RUes7n1uM1yfzgeUuwp,190213,4
