track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
7 rings,Ariana Grande,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,178.627
Act Up,City Girls,0.938,0.638,8,-4.713,1,0.18899999999999997,0.0167,0.0,0.111,0.313,97.075,158.332
All To Myself,Dan + Shay,0.6459999999999999,0.7809999999999999,1,-4.6160000000000005,1,0.0313,0.20800000000000002,0.0,0.125,0.565,94.975,169.92
Baby (Lil Baby feat. DaBaby),Quality Control,0.97,0.46299999999999997,10,-7.2589999999999995,1,0.366,0.0957,0.0,0.151,0.46,108.00299999999999,142.417
Baby Shark,Pinkfong,0.8290000000000001,0.8859999999999999,8,-1.746,1,0.11199999999999999,0.259,0.0,0.0559,0.777,115.056,80.927
bad guy,Billie Eilish,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,194.088
Be Alright,Dean Lewis,0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196.373
Beautiful Crazy,Luke Combs,0.552,0.402,11,-7.431,1,0.0262,0.6759999999999999,0.0,0.0928,0.382,103.31299999999999,193.2
Beautiful (feat. Camila Cabello),Bazzi,0.638,0.7170000000000001,2,-4.7219999999999995,1,0.0337,0.34600000000000003,0.0,0.105,0.249,100.027,180.0
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,197.867
Beer Never Broke My Heart,Luke Combs,0.54,0.863,1,-4.4830000000000005,1,0.0481,0.0138,0.0,0.0874,0.64,77.0,186.733
Better,Khalid,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.11599999999999999,97.565,229.413
Better Now,Post Malone,0.68,0.578,10,-5.803999999999999,1,0.04,0.331,0.0,0.135,0.341,145.03799999999998,231.267
boyfriend (with Social House),Ariana Grande,0.4,0.795,10,-3.7310000000000003,0,0.461,0.11900000000000001,0.0,0.159,0.7020000000000001,190.097,186.107
"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.5539999999999999,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.99900000000002,190.44
breathin,Ariana Grande,0.568,0.6559999999999999,8,-5.412999999999999,1,0.0433,0.0211,1.3699999999999998e-05,0.213,0.364,100.04899999999999,198.16
bury a friend,Billie Eilish,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193.143
