track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182.161
Old Town Road,Lil Nas X,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.10099999999999999,0.507,135.998,113.0
I Don't Care (with Justin Bieber),Ed Sheeran,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,219.947
bad guy,Billie Eilish,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,194.088
Giant (with Rag'n'Bone Man),Calvin Harris,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229.184
Sweet but Psycho,Ava Max,0.7190000000000001,0.7040000000000001,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187.436
Vossi Bop,Stormzy,0.682,0.653,8,-6.062,1,0.33899999999999997,0.13,0.00116,0.129,0.428,188.115,196.267
Dance Monkey,Tones And I,0.8240000000000001,0.588,6,-6.4,0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,209.438
Don't Call Me Up,Mabel,0.674,0.8809999999999999,9,-2.853,1,0.147,0.29600000000000004,3.01e-06,0.0793,0.23399999999999999,98.994,178.48
Señorita,Shawn Mendes,0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,190.96
Piece Of Your Heart,MEDUZA,0.677,0.7440000000000001,10,-6.806,0,0.0295,0.0404,0.00016,0.07400000000000001,0.631,124.08,152.913
Shotgun,George Ezra,0.672,0.735,5,-4.7330000000000005,1,0.0457,0.28600000000000003,0.0,0.242,0.754,115.741,201.287
Location (feat. Burna Boy),Dave,0.812,0.496,9,-5.968999999999999,0,0.297,0.271,0.0,0.0955,0.55,109.979,241.293
Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507000000000001,1,0.0333,0.44299999999999995,0.0,0.0995,0.162,106.958,205.687
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.9129999999999999,89.911,158.04
7 rings,Ariana Grande,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,178.627
Wow.,Post Malone,0.8290000000000001,0.539,11,-7.359,0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,149.547
Ladbroke Grove,AJ Tracey,0.903,0.8390000000000001,11,-9.447000000000001,0,0.20800000000000002,0.0939,0.0,0.102,0.727,133.986,190.537
Just You and I,Tom Walker,0.5670000000000001,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,174.983
Shallow,Lady Gaga,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,215.733
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,197.867
Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,171.03
