track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Koi,Gen Hoshino,0.598,0.8190000000000001,9,-2.6189999999999998,1,0.0911,0.00081,0.0,0.218,0.878,158.115,251.267
Shape of You,Ed Sheeran,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233.713
打上花火,DAOKO,0.625,0.6679999999999999,6,-4.315,1,0.0249,0.28800000000000003,0.0,0.107,0.292,95.96799999999999,289.578
Fukyouwaon,Keyakizaka46,0.604,0.853,0,-5.055,1,0.032,0.00916,0.0,0.0851,0.856,119.899,249.547
Futari Saison,Keyakizaka46,0.522,0.9279999999999999,5,-3.97,0,0.045,0.716,1.1900000000000001e-05,0.0654,0.742,130.029,288.893
TT,TWICE,0.708,0.853,2,-4.398,1,0.0844,0.0525,0.000173,0.39899999999999997,0.39899999999999997,129.946,212.987
Influencer,Nogizaka46,0.555,0.852,6,-3.761,1,0.0439,0.557,0.0,0.314,0.652,132.078,270.093
PPAP(Pen-Pineapple-Apple-Pen) - Long ver.,PIKOTARO,0.892,0.527,1,-5.598,1,0.0631,0.036000000000000004,0.11199999999999999,0.0612,0.485,136.029,122.933
Zenzenzense - English ver.,RADWIMPS,0.359,0.8809999999999999,11,-3.863,1,0.109,0.000264,0.0,0.068,0.665,189.6,277.853
Silent Majority,Keyakizaka46,0.583,0.9520000000000001,1,-2.491,1,0.0803,0.266,0.0,0.314,0.812,123.029,265.827
Dirty Work,Austin Mahone,0.789,0.665,1,-3.648,1,0.0674,0.252,0.0,0.0623,0.91,104.97200000000001,187.872
Nigemizu,Nogizaka46,0.5710000000000001,0.992,3,-2.845,1,0.184,0.43799999999999994,1.53e-06,0.315,0.419,133.989,308.88
Family Song,Gen Hoshino,0.532,0.7140000000000001,7,-4.556,1,0.0372,0.0618,0.0,0.34600000000000003,0.7659999999999999,165.84900000000002,324.0
Peace Sign,Kenshi Yonezu,0.594,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.00299999999999,238.533
Itsukadekirukarakyoudekiru,Nogizaka46,0.547,0.8240000000000001,4,-3.0380000000000003,1,0.0336,0.769,0.0,0.114,0.29100000000000004,129.989,279.587
Kaze Ni Fukaretemo,Rockapella,0.782,0.726,4,-7.359,0,0.0618,0.0493,0.0,0.13,0.787,91.991,104.756
TOKYO GIRL - Remastered,Perfume,0.728,0.915,2,-3.13,1,0.0339,0.222,0.153,0.0831,0.659,127.97,267.387
STAY TUNE,Suchmos,0.6809999999999999,0.938,5,-4.246,1,0.0557,0.0288,0.000264,0.0634,0.6,122.991,297.333
RAIN,SEKAI NO OWARI,0.527,0.741,8,-3.855,1,0.027000000000000003,0.20600000000000002,1.16e-06,0.299,0.5,97.93799999999999,310.293
What Do You Mean?,Justin Bieber,0.845,0.5670000000000001,5,-8.118,0,0.0956,0.59,0.0014199999999999998,0.0811,0.7929999999999999,125.02,205.68
Signal,TWICE,0.621,0.7609999999999999,0,-2.736,1,0.33399999999999996,0.22,0.0,0.14300000000000002,0.626,207.81799999999998,196.68
Orion,Kenshi Yonezu,0.701,0.613,8,-4.93,1,0.027999999999999997,0.10300000000000001,0.0,0.231,0.505,104.021,281.907
Blood Sweat & Tears,BTS,0.583,0.885,0,-3.571,0,0.106,0.0244,0.0,0.35700000000000004,0.601,92.959,217.052
Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,244.96
Tsunagu,ARASHI,0.584,0.9309999999999999,7,-1.797,0,0.0376,0.581,0.0,0.344,0.862,105.022,247.507
EXCITE,Daichi Miura,0.703,0.9259999999999999,1,-3.9589999999999996,0,0.0814,0.1,0.0,0.353,0.68,151.1,186.72
One More Time,TWICE,0.74,0.9279999999999999,7,-4.138999999999999,1,0.0633,0.00288,0.0,0.319,0.6709999999999999,129.955,183.001
HAPPY,J SOUL BROTHERS III,0.6920000000000001,0.8490000000000001,9,-3.795,1,0.191,0.0703,0.0,0.0776,0.9440000000000001,114.965,187.36
I'll Be There,ARASHI,0.628,0.955,10,-3.049,0,0.122,0.682,0.0,0.10300000000000001,0.718,120.005,249.004
MAGIC,AAA,0.7120000000000001,0.96,3,-3.574,1,0.0802,0.281,0.0,0.107,0.863,129.984,232.908
24K Magic,Bruno Mars,0.818,0.8029999999999999,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225.983
