track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Call Me Maybe,Carly Rae Jepsen,0.778,0.615,7,-6.529,1,0.0384,0.0126,1.44e-06,0.10800000000000001,0.648,120.045,193.467
Gangnam Style (강남스타일),PSY,0.727,0.938,11,-2.872,0,0.28800000000000003,0.00432,0.0,0.0911,0.757,132.077,219.493
Battle Scars - featuring Lupe Fiasco,Guy Sebastian,0.612,0.868,5,-2.576,0,0.21600000000000003,0.233,0.0,0.10800000000000001,0.456,83.79700000000001,248.747
Whistle,Flo Rida,0.754,0.9329999999999999,0,-5.7860000000000005,1,0.0448,0.0199,0.0,0.297,0.75,103.992,225.0
Wild Ones (feat. Sia),Flo Rida,0.624,0.889,5,-3.772,0,0.0504,0.10099999999999999,0.0,0.22699999999999998,0.45,127.01899999999999,233.688
Starships,Nicki Minaj,0.7390000000000001,0.659,11,-3.945,0,0.0853,0.157,0.0,0.14800000000000002,0.74,125.0,211.747
Boom Boom,Justice Crew,0.809,0.8540000000000001,6,-3.2960000000000003,1,0.114,0.14,1.15e-06,0.1,0.8590000000000001,125.927,185.733
Skinny Love,Birdy,0.387,0.298,4,-8.797,1,0.049,0.96,0.0039700000000000004,0.11699999999999999,0.18,87.571,200.939
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.7809999999999999,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235.613
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.11199999999999999,0.0,0.11599999999999999,0.43799999999999994,129.042,212.862
Payphone,Maroon 5,0.738,0.7440000000000001,4,-4.757,1,0.042,0.0222,0.0,0.331,0.556,110.0,231.467
We Are Young (feat. Janelle Monáe),fun.,0.37799999999999995,0.638,10,-5.5760000000000005,1,0.075,0.02,7.659999999999999e-05,0.0849,0.735,184.08599999999998,250.627
Brother,Matt Corby,0.6609999999999999,0.7440000000000001,9,-4.928,1,0.0505,0.0374,0.0016,0.0667,0.37,100.139,254.213
Lego House,Ed Sheeran,0.5920000000000001,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,185.093
Some Nights,fun.,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.93799999999999,277.04
Good Time,Owl City,0.56,0.888,3,-4.207,1,0.134,0.0262,3.64e-06,0.293,0.7,126.09,206.987
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009000000000000001,0.0,0.0596,0.888,124.99,199.987
One More Night,Maroon 5,0.718,0.82,5,-3.4530000000000003,0,0.0323,0.0444,0.0,0.0846,0.613,92.99799999999999,219.467
We Are Never Ever Getting Back Together,Taylor Swift,0.547,0.688,7,-5.093999999999999,1,0.113,0.006490000000000001,0.0004,0.0661,0.7829999999999999,171.91400000000002,192.987
Hall of Fame (feat. will.i.am),The Script,0.433,0.8740000000000001,10,-4.357,1,0.0544,0.06,0.0,0.11900000000000001,0.633,84.729,201.56
Bangarang (feat. Sirah),Skrillex,0.716,0.972,7,-2.302,1,0.196,0.0145,3.2200000000000003e-05,0.317,0.5760000000000001,110.02600000000001,215.253
One Thing,One Direction,0.713,0.718,2,-3.806,1,0.0278,0.00233,0.0,0.0838,0.6559999999999999,126.999,197.6
Boys Like You,360,0.7120000000000001,0.688,3,-8.567,0,0.11699999999999999,0.004370000000000001,0.0,0.134,0.515,145.964,220.627
Paradise,Coldplay,0.449,0.585,5,-6.7620000000000005,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278.719
Earthquake,Labrinth,0.541,0.856,0,-3.966,0,0.0997,0.11,0.0,0.276,0.258,153.066,274.6
Bom Bom - Radio Edit,Sam And The Womp,0.755,0.925,0,-3.977,1,0.257,0.0213,3.32e-05,0.10099999999999999,0.804,125.06,174.034
I Knew You Were Trouble,Taylor Swift,0.602,0.465,6,-6.7620000000000005,1,0.0367,0.00572,5.34e-06,0.033,0.664,154.076,219.72
Locked Out of Heaven,Bruno Mars,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233.478
I Cry,Flo Rida,0.693,0.8220000000000001,4,-5.441,0,0.0439,0.0061600000000000005,1.79e-06,0.315,0.763,126.035,223.8
Never Let Me Go,Florence + The Machine,0.45899999999999996,0.728,9,-3.2260000000000004,1,0.0365,0.344,5.02e-06,0.38,0.26,145.192,271.377
Feel The Love (Radio Edit) (Radio Edit),Rudimental Feat. John Newman,0.506,0.79,1,-5.001,1,0.043,0.0033399999999999997,1.51e-05,0.703,0.265,89.979,219.374
Diamonds,Rihanna,0.5529999999999999,0.674,11,-6.057,0,0.045,0.00117,0.0,0.16,0.369,91.958,225.2
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,0.716,0.838,10,-4.289,1,0.0513,0.134,0.0,0.14800000000000002,0.6459999999999999,130.034,222.213
Set It Off,Timomatic,0.6920000000000001,0.892,0,-2.234,1,0.0532,0.00112,0.0,0.153,0.851,123.99600000000001,198.613
Wide Awake,Katy Perry,0.514,0.6829999999999999,5,-5.099,1,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,220.947
Throw Your Hands Up (Dancar Kuduro),Qwote,0.603,0.932,0,-4.912,1,0.313,0.161,0.0,0.402,0.741,129.984,209.908
Sexy And I Know It,LMFAO,0.7070000000000001,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.02100000000002,199.48
Little Talks,Of Monsters and Men,0.475,0.773,1,-5.1979999999999995,1,0.0326,0.0238,0.0,0.23399999999999999,0.425,103.311,267.693
"Back in Time - featured in ""Men In Black 3""",Pitbull,0.731,0.915,0,-4.453,1,0.043,0.0019100000000000002,1.16e-06,0.324,0.789,127.086,205.68
Somebody That I Used To Know - Miami Nights 1984 Remix,Gotye,0.6970000000000001,0.7909999999999999,2,-8.14,0,0.033,0.00293,0.0346,0.368,0.966,129.136,327.062
I Won't Let You Go,James Morrison,0.5379999999999999,0.579,0,-6.295,1,0.0292,0.244,0.0,0.147,0.17800000000000002,105.977,229.303
Lonely Boy,The Black Keys,0.359,0.919,2,-5.235,1,0.0835,0.00461,0.00731,0.111,0.599,166.30700000000002,193.173
Die Young,Kesha,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.8009999999999999,128.001,211.92
Turn Me On (feat. Nicki Minaj),David Guetta,0.7040000000000001,0.7929999999999999,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.41200000000000003,127.96,199.68
Part Of Me,Katy Perry,0.664,0.9179999999999999,5,-4.862,1,0.0345,0.000349,0.0,0.16699999999999998,0.8059999999999999,130.012,215.494
Don't Wake Me Up,Chris Brown,0.602,0.691,7,-5.197,0,0.051,0.0548,0.0,0.14400000000000002,0.20600000000000002,127.96700000000001,222.307
Scream & Shout,will.i.am,0.79,0.616,0,-7.443,1,0.0596,0.0589,6.55e-05,0.171,0.473,130.009,284.413
