danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
0.63155,0.74842,5.8,-5.10671,0.56,0.083345,0.150099,0.004409,0.193316,0.526062,123.96054,2011
0.628567,0.744187,5,-5.171287,0.606667,0.075109,0.150301,0.02509,0.192735,0.533153,121.01596,2012
0.63419,0.69999,5.35,-5.71274,0.56,0.074417,0.143027,0.019019,0.191336,0.494285,119.84435,2013
0.64518,0.70192,4.98,-5.65148,0.64,0.067734,0.152798,0.028543,0.182118,0.509786,118.31663,2014
0.663242,0.665879,4.79798,-5.972071,0.575758,0.064703,0.204972,0.002293,0.178949,0.519616,117.501303,2015
0.64948,0.68598,5.02,-5.64541,0.57,0.099129,0.170615,0.002639,0.18859,0.49801,119.16575,2016
0.67631,0.67369,4.99,-5.42497,0.6,0.101138,0.166303,0.002555,0.142027,0.52685,118.66518,2017
0.66748,0.68699,5.53,-5.71296,0.59,0.10915,0.159207,0.008038,0.146464,0.468881,113.63213,2018
0.66748,0.68699,5.53,-5.71296,0.59,0.10915,0.159207,0.008038,0.146464,0.468881,113.63213,2019
