track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Sakura,ARASHI,0.532,0.9079999999999999,11,-3.24,0,0.08800000000000001,0.0627,0.0,0.0932,0.642,133.05,278.878
Ai O Sakebe,ARASHI,0.495,0.898,0,-2.844,1,0.0346,0.0158,5.89e-06,0.45,0.6759999999999999,141.997,278.414
Dragon Night - Japanese Lyrics,SEKAI NO OWARI,0.616,0.825,10,-4.349,1,0.125,0.0342,8.7e-06,0.405,0.5479999999999999,124.01299999999999,229.293
I Really Like You,Carly Rae Jepsen,0.622,0.8079999999999999,5,-4.7010000000000005,1,0.0418,0.00543,5.629999999999999e-05,0.215,0.599,122.12100000000001,204.773
Summer Madness,J SOUL BROTHERS III,0.5710000000000001,0.711,5,-2.638,1,0.0336,0.451,3.86e-06,0.22899999999999998,0.5770000000000001,129.994,274.28
君がくれた夏,Leo Ieiri,0.51,0.615,1,-4.207,1,0.0283,0.31,0.0,0.11699999999999999,0.46299999999999997,169.81400000000002,258.68
Shake It Off,Taylor Swift,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.14800000000000002,0.943,160.02,219.2
Torisetsu,Kana Nishino,0.613,0.735,2,-5.619,1,0.0229,0.271,0.0,0.348,0.785,96.00299999999999,259.013
シュガーソングとビターステップ,UNISON SQUARE GARDEN,0.626,0.89,6,-3.285,1,0.0536,0.0036899999999999997,0.0,0.0839,0.8490000000000001,131.997,253.227
Moshimo Unmeinohitoga Irunonara,Kana Nishino,0.456,0.741,2,-4.984,1,0.0343,0.257,0.0,0.1,0.47100000000000003,109.62200000000001,324.747
サクラミチ,TVXQ!,0.536,0.5579999999999999,11,-5.763999999999999,1,0.0274,0.478,0.0,0.113,0.254,95.03299999999999,329.747
"Himawari No Yakusoku (From anime ""Doraemon"") [Originally Performed by Hata Motohiro]",REI,0.512,0.39299999999999996,10,-6.229,1,0.0269,0.128,0.0,0.11,0.37200000000000005,78.946,311.771
See You Again (feat. Charlie Puth),Wiz Khalifa,0.6890000000000001,0.48100000000000004,10,-7.502999999999999,1,0.0815,0.369,1.03e-06,0.0649,0.28300000000000003,80.025,229.526
SUN,Gen Hoshino,0.782,0.684,1,-5.774,1,0.0398,0.021,0.0,0.125,0.858,108.171,241.467
"Attakaindakara (Cover) [From commercial ""Dashitama Niku Udon / Toridoll Marugame Seimen""] [Originally Performed by Kumamushi]",IKEI,0.675,0.509,8,-7.104,1,0.0255,0.125,0.0,0.0924,0.5589999999999999,105.087,282.266
Unfair World,J SOUL BROTHERS III,0.5589999999999999,0.934,5,-3.359,1,0.0503,0.0032,2.21e-06,0.375,0.363,129.97299999999998,232.133
O.R.I.O.N.,J SOUL BROTHERS III,0.586,0.938,4,-1.919,1,0.0458,0.00214,0.0,0.141,0.534,129.963,300.493
Darling,Kana Nishino,0.591,0.818,5,-4.317,1,0.0358,0.361,4.07e-06,0.226,0.767,159.95600000000002,254.667
新宝島,Sakanaction,0.557,0.917,7,-3.426,0,0.0757,0.00118,0.00914,0.419,0.653,158.0,302.493
Beautiful,Superfly,0.48700000000000004,0.91,3,-2.454,1,0.0594,0.0737,0.0,0.105,0.32799999999999996,144.81,297.253
Sugar,Maroon 5,0.748,0.767,1,-7.095,1,0.0333,0.0521,0.0,0.0859,0.9,120.035,235.507
ANTI-HERO,SEKAI NO OWARI,0.863,0.782,1,-4.665,1,0.0562,0.0277,0.000122,0.0646,0.627,105.027,214.378
長く短い祭,Sheena Ringo,0.614,0.7879999999999999,2,-3.8080000000000003,0,0.11199999999999999,0.0567,0.0472,0.221,0.778,124.876,249.547
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.8220000000000001,5,-4.662,0,0.183,0.21899999999999997,0.0,0.0908,0.9620000000000001,160.019,232.72
Suki,Kana Nishino,0.305,0.8690000000000001,6,-3.1830000000000003,1,0.0512,0.159,0.0,0.08900000000000001,0.483,81.417,380.52
Ima Hanashitai Darekagairu,Nogizaka46,0.614,0.893,4,-3.866,1,0.0358,0.426,0.0,0.312,0.466,139.968,264.08
"Ayaka Nijiiro (From ""Hanako to Anne"") [Instrumental] - Retro Classic",Harajuku Nation,0.677,0.1,2,-23.421999999999997,1,0.037000000000000005,0.991,0.9009999999999999,0.0825,0.528,92.01899999999999,180.0
Inochiwa Utsukushii,Nogizaka46,0.578,0.84,2,-5.164,0,0.037000000000000005,0.0763,0.0,0.159,0.405,130.015,315.56
Stay With Me,Sam Smith,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172.724
We Are Never Ever Getting Back Together,Taylor Swift,0.628,0.6759999999999999,7,-5.9110000000000005,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191.88
RPG,SEKAI NO OWARI,0.49200000000000005,0.937,4,-3.4960000000000004,1,0.0554,0.0257,0.0164,0.185,0.45799999999999996,134.97799999999998,291.347
Anniversary!!,E-girls,0.6,0.991,1,-2.431,0,0.11599999999999999,0.205,0.17300000000000001,0.28,0.742,151.98,233.12
Silhouette,KANA-BOON,0.436,0.934,2,-2.685,1,0.0507,1.05e-05,0.136,0.321,0.38299999999999995,91.488,240.133
Taiyou Nokku,Nogizaka46,0.49200000000000005,0.8959999999999999,8,-2.693,1,0.0668,0.193,0.0,0.12300000000000001,0.698,82.492,243.6
All About That Bass,Meghan Trainor,0.807,0.887,9,-3.7260000000000004,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.05200000000002,187.92
I am a HERO,Masaharu Fukuyama,0.528,0.915,11,-4.29,0,0.0752,0.005379999999999999,1.21e-06,0.115,0.7,157.998,225.2
Yüzünü Güneşe Dön,İyi Olacak,0.47700000000000004,0.675,2,-7.165,1,0.0554,0.157,0.0,0.11900000000000001,0.17800000000000002,67.574,260.444
LOVE - あなたに初めて、手紙を書くよ。love letter Tour 2016,MACO,0.47700000000000004,0.43799999999999994,4,-7.756,1,0.10099999999999999,0.802,0.0,0.205,0.305,173.53900000000002,447.212
愛してるのに、愛せない,AAA,0.568,0.81,5,-4.17,1,0.0334,0.0764,0.0,0.161,0.489,112.021,300.134
Playback,JUJU,0.634,0.9620000000000001,6,-2.546,1,0.0635,0.0728,0.0,0.0676,0.9670000000000001,158.959,199.8
真夏の太陽,Sakurako Ohara,0.55,0.934,5,-2.5380000000000003,1,0.0485,0.0111,0.0,0.361,0.669,139.967,249.733
Seven Deadly Sins,MAN WITH A MISSION,0.371,0.9670000000000001,8,-1.199,0,0.15,0.0049700000000000005,0.0,0.223,0.345,142.909,207.0
LOVER,AAA,0.586,0.867,0,-4.882,1,0.0365,0.00603,0.0,0.0996,0.29100000000000004,95.027,289.573
Story,AI,0.614,0.62,0,-4.471,1,0.0252,0.415,0.0,0.109,0.405,125.97399999999999,288.4
もったいないとらんど,Kyary Pamyu Pamyu,0.575,0.963,6,-1.56,0,0.084,0.0264,0.0,0.0504,0.868,159.963,241.908
Shut Up and Dance,WALK THE MOON,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.03799999999998,199.08
Bokuno Kotoba Dewa Nai Korewa Bokutachino Kotoba,UVERworld,0.5429999999999999,0.925,4,-6.436,0,0.0739,0.000669,0.0,0.139,0.44799999999999995,100.001,257.413
What Do You Mean?,Justin Bieber,0.845,0.5670000000000001,5,-8.118,0,0.0956,0.59,0.0014199999999999998,0.0811,0.7929999999999999,125.02,205.68
Relax In The City,Perfume,0.508,0.9620000000000001,4,-3.1289999999999996,1,0.033,0.0613,0.293,0.693,0.7929999999999999,120.059,252.267
Don't look back!,NMB48,0.381,0.97,4,-1.944,0,0.0694,0.11199999999999999,6.71e-06,0.314,0.516,184.988,264.6
KISS KISS KISS Originally Performed By KAT-TUN (オルゴール),Orgel Sound J-pop,0.602,0.584,1,-10.901,1,0.0419,0.68,0.9079999999999999,0.0952,0.146,103.41,223.387
さよならの前に,AAA,0.545,0.853,1,-4.699,1,0.028999999999999998,0.0364,0.0,0.11699999999999999,0.525,98.02,320.373
Share The Love,The Sharehappi from J Soul Brothers III from EXILE TRIBE,0.7390000000000001,0.9,1,-3.6439999999999997,0,0.0478,0.267,0.0,0.294,0.7509999999999999,132.983,255.223
Raise Your Flag,MAN WITH A MISSION,0.431,0.966,0,-2.7289999999999996,1,0.0832,0.00128,0.0,0.128,0.5710000000000001,144.996,247.493
Star Train,Perfume,0.603,0.897,0,-3.813,1,0.0298,0.0103,0.00010800000000000001,0.213,0.42100000000000004,104.96700000000001,274.352
Hard Knock Days,GENERATIONS from EXILE TRIBE,0.5589999999999999,0.9359999999999999,6,-3.7489999999999997,1,0.0874,0.0139,0.0,0.33,0.7170000000000001,92.024,272.773
海色,AKINO from bless4,0.41600000000000004,0.904,5,-4.886,0,0.0784,0.17600000000000002,0.0,0.188,0.624,97.544,255.133
